Reaction ID	Rule	Aligned smarts	Reaction center
1561	rule0017	CCCCCCCC(=O)OCC(COP(=O)(O)OC1C(O)C(O)C(O)C(OP(=O)(O)O)C1O)OC(=O)CCCCCCC.O=P(O)(O)O>>CCCCCCCC(=O)OCC(COP(=O)(O)OC1C(O)C(OP(=O)(O)O)C(O)C(OP(=O)(O)O)C1O)OC(=O)CCCCCCC.O	((22,), (2, 1))
1582	rule0114	CCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O.OO>>CCCCCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O.O=O	((4, 5), (0, 1))
1605	rule0035	*C1OC(COP(*)(=O)O)C2OP(=O)(O)OC12.O>>*C1OC(COP(*)(=O)O)C(O)C1OP(=O)(O)O	((10, 11), (0,))
1626	rule0014	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O.O=C(O)CC(O)C(O)C(=O)COP(=O)(O)O>>Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O.O=C(O)CC(O)C(O)C(=O)CO	((21,), (11, 12))
1647	rule0044	O=C(O)CCC(O)C(=O)O.O=C(O)CCC(=O)O.O=C=O>>O=C(O)CCC(=O)C(=O)O.O=C(O)CCCC(=O)O.O=O	((5, 6), (1, 2), (1, 0))
1690	rule0007	CCCCCCCCCC(=O)OCC(O)CO.O>>CCCCCCCCCC(=O)O.OCC(O)CO	((9, 11), (0,))
1713	rule0012	*C(N)C(=O)O.O=C(O)C1CCCN1>>*C(N)C(=O)N1CCCC1C(=O)O.O	((3, 5), (7,))
1735	rule0012	*C(N)C(=O)O.*C(N)C(=O)O>>*C(N)C(=O)NC(*)C(=O)O.O	((3, 5), (2,))
1755	rule0011	C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=c1ccc2cc(O)c(O)cc2o1>>COc1cc2ccc(=O)oc2cc1O.Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O	((0, 1), (7,))
1775	rule0098	NC(=O)OP(=O)(O)O.NC(CC(=O)O)C(=O)O>>NC(=O)NC(CC(=O)O)C(=O)O.O=P(O)(O)O	((1, 3), (0,))
1797	rule0014	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O.O=P(O)(O)OC1C(O)C(OP(=O)(O)O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1O>>Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O.O=P(O)(O)OC1C(O)C(O)C(OP(=O)(O)O)C(OP(=O)(O)O)C1O	((21,), (9, 10))
1817	rule0343	Oc1ccc(CC2NCCc3cc(O)c(O)cc32)cc1.O>>NCCc1ccc(O)c(O)c1.O=CCc1ccc(O)cc1	((17, 6, 7), (0,))
1837	rule0071	O=C(O)C(O)C(O)C(O)C(O)C(=O)O>>O.O=C(O)C(=O)CC(O)C(O)C(=O)O	((3, 4, 5, 6),)
1899	rule0113	*CN*.O.O=O>>*C=O.*N.OO	((1, 2), (0,), (0, 1))
