Reaction ID	Rule	Aligned smarts	Reaction center
48	rule0155	*OC1C(COP(*)(=O)O)OC(c2c[nH]c(=O)[nH]c2=O)C1O>>*OC1C(COP(*)(=O)O)OC(n2ccc(=O)[nH]c2=O)C1O	((14, 11, 12),)
49	rule0067	CC(C)(CO)C(O)C(=O)O.NCCC(=O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O>>CC(C)(CO)C(O)C(=O)NCCC(=O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O.O=P(O)(O)OP(=O)(O)O	((7, 9), (0,), (18, 15))
50	rule0066	CC(C)(CO)C(O)C(=O)NCCC(=O)O.O=P(O)(O)OP(=O)(O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O>>CC(C)(CO)C(O)C(=O)O.NCCC(=O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	((7, 9), (2,), (17, 15))
51	rule0020	O=C(O)C=CC(=O)O.O>>O=C(O)CC(O)C(=O)O	((3, 4), (0,))
53	rule0550	NCCO.*C(=O)NC1COP(=O)(O)OC1*>>*C(=O)NC(COP(=O)(O)OCCN)C(*)O	((3,), (10, 7))
54	rule0137	CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O.O=C(O)CCC(=O)C(=O)O.O>>CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS.O=C(O)CCC(O)(CC(=O)O)C(=O)O	((0, 1, 3), (5, 6), (0,))
55	rule0024	CCC(C(=O)O)C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O>>CCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O.O=C=O	((2, 3, 5),)
56	rule0070	CSCCC(=O)C(=O)COP(=O)(O)O.O>>CSCC(O)C(O)C(=O)COP(=O)(O)O	((3, 4, 5), (0,))
57	rule0348	CCC(O)(C(C)=O)C(=O)O.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1>>CCC(C)(O)C(O)C(=O)O.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1	((1, 2, 4, 6), (3, 4, 5, 45, 46, 47))
58	rule0033	Nc1ncnc2c1ncn2C1OC(CSCCC(N)C(=O)O)C(O)C1O.*OC1C(COP(*)(=O)O)OC(n2ccc(NC)nc2=O)C1O>>*OC1C(COP(*)(=O)O)OC(n2ccc(N)nc2=O)C1O.C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O	((14,), (17, 16))
59	rule0028	O=C(O)C(CO)OP(=O)(O)O>>O=C(O)C(O)COP(=O)(O)O	((1, 3, 4),)
59	rule0129	O=C(O)C(CO)OP(=O)(O)O>>O=C(O)C(O)COP(=O)(O)O	((5, 6, 7),)
61	rule0089	NC(CCC(=O)NC(CS)C(=O)NCC(=O)O)C(=O)O.*C(O)C(=O)O>>*C(O)C(=O)SCC(NC(=O)CCC(N)C(=O)O)C(=O)NCC(=O)O.O	((9,), (3, 5))
62	rule0119	Nc1nc2c(c(=O)[nH]1)NC(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2.NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1>>NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1)CN2	((9, 8), (3, 4, 5, 6, 7, 47))
63	rule0028	O=P(O)(O)OCC1OC(O)(CO)C(O)C1O>>O=P(O)(O)OCC1OC(O)C(O)C(O)C1O	((10, 8, 12),)
66	rule0041	CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS.*NC(CCCCNC(C)=O)C(*)=O>>*NC(CCCCN)C(*)=O.CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O	((47,), (8, 7))
67	rule0016	O.O=P(O)(O)OC1C(O)C(O)C(O)C(OP(=O)(O)O)C1O>>O=P(O)(O)O.O=P(O)(O)OC1C(O)C(O)C(O)C(O)C1O	((0,), (4, 1))
68	rule1049	O=P(O)(O)OCC1OC(OP(=O)(O)OP(=O)(O)O)C(O)C1O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O>>N=c1c2ncn(C3OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C3O)c2ncn1C1OC(COP(=O)(O)O)C(O)C1O.O=P(O)(O)OP(=O)(O)O	((8, 9), (2, 1, 0))
69	rule0206	C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.*OC1C(COP(*)(=O)O)OC(c2cn(C)c(=O)[nH]c2=O)C1O>>*OC1C(COP(*)(=O)O)OC(c2cn(C)c(=O)n(CCC(N)C(=O)O)c2=O)C1O.CSCC1OC(n2cnc3c(N)ncnc32)C(O)C1O	((2, 1), (18,))
73	rule0074	OCC1OC(O)C(O)C(O)C1O.O=O>>O=C1OC(CO)C(O)C(O)C1O.OO	((4, 5), (0, 1))
74	rule0022	*C(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O.*C(=O)OCC(O)CO>>*C(=O)OCC(CO)OC(*)=O.CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS	((1, 3), (6,))
76	rule1219	CSCCC(N)C(=O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O.O>>C[S+](CCC(N)C(=O)O)CC1OC(n2cnc3c(N)ncnc32)C(O)C1O.O=P(O)(O)O.O=P(O)(O)OP(=O)(O)O	((1,), (13, 14, 15, 18), (0,))
78	rule0006	*C(N)C(=O)O.*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O>>*C(N)C(=O)OC1C(COP(*)(=O)O)OC(n2cnc3c(N)ncnc32)C1O.O	((3, 5), (22,))
79	rule0055	NC(CCC(=O)O)C(=O)O.N>>NC(=O)CCC(N)C(=O)O.O	((4, 6), (0,))
81	rule0036	O=C(O)C1(O)CC(O)C(O)C(C(O)CO)O1.Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1>>Nc1ccn(C2OC(COP(=O)(O)OC3(C(=O)O)CC(O)C(O)C(C(O)CO)O3)C(O)C2O)c(=O)n1.O=P(O)(O)OP(=O)(O)O	((4,), (13, 10))
83	rule0006	*C(=O)O.*C(=O)OC(CO)COP(=O)(O)OCC[N+](C)(C)C>>*C(=O)OCC(COP(=O)(O)OCC[N+](C)(C)C)OC(*)=O.O	((1, 3), (6,))
84	rule0080	O=C(CO)C(O)C(O)COP(=O)(O)O.NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)C=CC1.O=C=O>>NC(=O)c1ccc[n+](C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(OP(=O)(O)O)C3O)C(O)C2O)c1.O=C(O)C(O)C(O)C(O)C(O)COP(=O)(O)O	((2, 1, 0), (3, 4, 5, 45, 46, 47), (1, 0))
85	rule0014	Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O.*NC(COP(=O)(O)O)C(*)=O>>*NC(CO)C(*)=O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O	((21,), (4, 5))
87	rule0015	O=P(O)(O)OCC1OC(O)(CO)C(O)C1O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O>>Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O.O=P(O)(O)OCC1OC(O)(COP(=O)(O)O)C(O)C1O	((11,), (22, 23))
88	rule0453	NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C=CC1.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O.O=P(O)(O)O>>NC(=O)C1=CN(C2OC(COP(=O)(O)OP(=O)(O)OCC3OC(n4cnc5c(N)ncnc54)C(O)C3O)C(O)C2O)C(O)CC1.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)O)C(O)C1O	((41, 42), (17,), (2, 1))
89	rule0847	*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1O.NC(CC(=O)O)C(=O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O>>*P(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OC(=O)C(N)CC(=O)O.Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O.O=P(O)(O)OP(=O)(O)O	((21, 22), (8,), (18, 15))
90	rule0012	N=C(N)NCCCC(N)C(=O)N1CCCC1C(=O)NC(CCCCN)C(=O)N1CCCC1C(=O)NC(CCC(N)=O)C(=O)NC(CCC(N)=O)C(=O)NC(Cc1ccccc1)C(=O)NC(Cc1ccccc1)C(=O)NCC(=O)O.CSCCC(NC(=O)C(N)CC(C)C)C(N)=O>>CSCCC(NC(=O)C(CC(C)C)NC(=O)CNC(=O)C(Cc1ccccc1)NC(=O)C(Cc1ccccc1)NC(=O)C(CCC(N)=O)NC(=O)C(CCC(N)=O)NC(=O)C1CCCN1C(=O)C(CCCCN)NC(=O)C1CCCN1C(=O)C(N)CCCNC(=N)N)C(N)=O.O	((76, 78), (9,))
92	rule0017	NC(CO)C(=O)O.O=P(O)(O)O>>NC(COP(=O)(O)O)C(=O)O.O	((3,), (2, 1))
